0, 13, 14, 17, 37, 39, 40, 61, 78, 80, 81, 82, 84, 87, 88, 91, 95, 146, 178, 181, 185, 191, 267, 269, 270, 291, 308, 310, 311, 312, 314, 317, 318, 321, 324, 375, 402, 405, 409, 415
[301.32397   437.68295    -4.3171597],[303.2165     442.70465      0.86343205],[303.3664   443.99756    3.453728],[304.71548  455.63364    5.180592],[293.26678   435.99655    -2.5902958],[287.94525    435.30325      0.86343205],[284.0666   435.75296    5.180592],[281.63068  437.34567   15.541776],[285.65927 438.18884  12.95148],[290.98077  438.88214    7.770888],[293.8664   441.16815    5.180592],[297.89496  442.01135    2.590296],[296.6583   453.94727    6.044024],[298.04486 443.30426   4.31716],[289.83777 440.32495   8.63432],[286.40878  444.65338   10.361184],[288.39496  439.18195   11.224616],[283.3733  441.07446  12.95148],[292.5735   441.31805    6.907456],[291.037    450.66815    7.770888],[282.77368  435.90286   10.361184],[288.24506  437.88904   10.361184],[308.93146  435.49063   -5.180592],[319.57446  436.8772    -3.453728],[324.89597    437.57053     -0.86343193],[334.09616  437.8141     6.907456],[330.06757  436.97092    6.044024],[321.16718  439.3131     2.590296],[316.14548   441.20563     1.7268641],[309.68097    441.95514      0.86343205],[312.323   453.4413    4.31716],[309.83087  443.24805    2.590296],[322.61    440.45612   4.31716],[327.08826  445.178      5.180592],[326.33875  438.7135     5.180592],[330.51727  440.8496     6.044024],[316.29538  442.49854    3.453728],[319.78058 449.95612   4.31716],[330.06757  436.97092    2.590296],[324.89597 437.57053   4.31716]
[300.71106  441.19626   -6.044024],[3.0269727e+02 4.4722980e+02 5.9604645e-08],[302.99707  449.7032     2.590296],[304.49606 462.07      4.31716],[292.99115   439.6223     -4.3171597],[2.8680771e+02 4.4037183e+02 5.9604645e-08],[284.33432 440.67163   4.31716],[282.16077  443.44476   14.678344],[284.63412 443.145    12.95148],[290.96747  443.63217    6.044024],[293.59076  444.56903    3.453728],[297.6006     446.5927       0.86343205],[296.77615  460.4961     5.180592],[297.9004   449.0661     3.453728],[290.03058  446.25543    7.770888],[285.53354  450.56512    9.497752],[287.2574   444.08188   11.224616],[283.69727 445.76825  12.95148],[292.65387  447.19232    6.044024],[289.9931   456.29883    6.907456],[281.86096  440.9714     9.497752],[288.34418  442.69528    9.497752],[309.21796  438.91028   -6.907456],[318.17456  440.33435   -5.180592],[324.50793   440.82147    -1.7268639],[333.4645   442.24557    5.180592],[329.75446  442.69528    5.180592],[319.86096    443.89447      0.86343205],[3.1506412e+02 4.4573077e+02 5.9604645e-08],[308.88068    446.4803      -0.86343193],[313.00296  459.78406    3.453728],[310.41718   448.80377     1.7268641],[321.39746  446.21796    2.590296],[326.9438   450.5651     3.453728],[326.19427 444.38165   4.31716],[331.44083  446.25543    5.180592],[316.6006    448.05426     1.7268641],[320.1233   456.41125    2.590296],[329.60455    441.4586       0.86343205],[324.65784  442.05817    2.590296]
[299.18393  448.75494   -5.180592],[3.0246301e+02 4.5505078e+02 5.9604645e-08],[302.8565   458.98572    2.590296],[303.90582 469.47882   4.31716],[291.05176  446.91864   -3.453728],[2.8593640e+02 4.4875494e+02 5.9604645e-08],[282.00146  449.14844    5.180592],[279.50937  450.7224    15.541776],[283.44427 450.32892  12.95148],[288.822    451.1159     6.907456],[293.01923 453.34567   4.31716],[297.08533   454.26382     1.7268641],[295.90485  468.95416    5.180592],[296.036   457.01825   4.31716],[287.7727  453.87033   8.63432],[284.36243  459.51038    9.497752],[286.3299   452.68988   11.224616],[282.52612 454.395    12.95148],[291.9699   456.1001     6.044024],[288.95316  465.67505    7.770888],[280.68985  449.2796    10.361184],[286.19873  451.37823   10.361184],[308.3654   447.8368    -6.044024],[318.98962   448.09912    -4.3171597],[324.36737   448.8861     -1.7268639],[333.81113  450.59125    6.044024],[329.74506  449.6731     5.180592],[320.69476   451.9029      1.7268641],[3.1544824e+02 4.5242755e+02 5.9604645e-08],[309.0212     454.39496     -0.86343193],[313.08728  468.56067    3.453728],[309.4147    458.3299      1.7268641],[322.26874  454.39496    3.453728],[326.72833 459.24805   4.31716],[326.0725  452.68985   4.31716],[331.4502   453.47684    5.180592],[315.84174  456.36243    2.590296],[320.69476  465.1504     3.453728],[330.92554   448.2303      1.7268641],[325.81018  450.0666     3.453728]
[298.09174   455.70813    -4.3171597],[299.9093    460.74854     1.7268641],[300.17163 463.33435   4.31716],[301.35208  474.97046    6.044024],[290.07202   453.9093     -2.5902958],[283.6075   454.56512    2.590296],[280.89056  453.53455    6.907456],[278.4359  455.08978  17.26864],[281.02173  454.82745   15.541776],[286.45563 456.88858   8.63432],[290.59668  459.0809     6.044024],[294.6065   459.9803     3.453728],[293.33234  473.17163    7.770888],[294.86884  462.5661     6.044024],[286.5868   458.1815    10.361184],[281.93985  463.87775   12.088048],[283.86984  457.1509    13.814912],[280.1223   458.8373    15.541776],[289.43494  460.50494    7.770888],[287.6361   468.5247     9.497752],[278.30475 453.79688  12.95148],[285.03156  455.72687   12.088048],[305.71796  453.62823   -5.180592],[317.6164   455.03357   -3.453728],[324.08087    454.37775     -0.86343193],[333.26233  454.7525     6.907456],[329.38364  455.146      6.044024],[319.17163  457.4882     2.590296],[314.13116   459.30573     1.7268641],[307.6667     459.96155      0.86343205],[310.2712   472.7594     5.180592],[307.92902  462.54736    3.453728],[320.5957  458.64993   4.31716],[324.99902  463.42804    5.180592],[324.3432   456.96356    5.180592],[329.77713  459.02466    6.907456],[314.26233  460.59863    3.453728],[317.7663  469.3866    4.31716],[329.25247  453.8531     2.590296],[324.21204 455.67065   4.31716]
[328.0429   341.55573  -18.132072],[328.7362   349.21942  -14.678344],[328.45514  354.65338  -14.678344],[327.94922  364.43442  -16.405209],[321.57843 340.13165 -17.26864],[313.74606  344.08533  -13.814912],[309.2303   347.12085  -10.361184],[304.54587  353.4167    -3.453728],[307.8062   353.58533   -5.180592],[314.49557  350.66223   -9.497752],[318.89893  349.80032  -12.088048],[323.30228  348.93835  -13.814912],[320.34174  364.04095  -16.405209],[323.0212   354.3723   -13.814912],[313.24017  353.8664    -9.497752],[309.75494  358.0449   -11.224616],[311.0666   353.75397   -6.907456],[306.60703  355.7027    -6.907456],[317.58728  354.09125  -11.224616],[313.93344  361.5301   -13.814912],[305.8013   350.21252   -6.907456],[311.17902  351.58038   -6.907456],[335.7066   340.86243  -18.132072],[344.28848  343.48572  -15.541776],[348.41077 348.0577  -12.95148],[354.59418  354.9157    -6.907456],[351.39005  353.66028   -7.770888],[343.895    351.0932   -11.224616],[339.60406 349.78156 -12.95148],[334.17014  349.5005   -14.678344],[335.61295  363.74115  -16.405209],[335.03207  353.90387  -14.678344],[344.8131   354.4098   -11.224616],[348.93542 358.98175 -12.95148],[348.0735   354.57843   -9.497752],[352.3082   356.97687   -9.497752],[340.46597 354.18494 -12.95148],[343.33286  361.96106  -14.678344],[352.64548  350.45612   -9.497752],[347.15533  351.26184   -9.497752]
[329.13907  344.18243  -16.405209],[329.13907  351.1529   -13.814912],[329.13907 355.7998  -12.95148],[329.13907  366.25543  -15.541776],[321.0069   343.02072  -15.541776],[312.87476 346.50592 -12.95148],[308.2278   348.8294    -9.497752],[304.7426    354.63806    -2.5902958],[308.2278   354.63806   -3.453728],[314.0365  352.3146   -8.63432],[318.68344  352.3146   -10.361184],[323.33038 351.1529  -12.95148],[321.0069   366.25543  -14.678344],[323.33038  355.7998   -12.088048],[312.87476  355.7998    -7.770888],[309.38956  360.44678   -9.497752],[310.55127  354.63806   -5.180592],[305.90436  356.96155   -5.180592],[317.5217   355.7998   -10.361184],[314.0365   363.93195  -12.088048],[305.90436  352.3146    -5.180592],[310.55127  352.3146    -6.044024],[336.1095   343.02072  -16.405209],[345.40338  346.50592  -14.678344],[350.0503   349.99115  -11.224616],[355.85898  355.7998    -5.180592],[352.37378  355.7998    -6.044024],[345.40338  353.47632   -9.497752],[340.7564   352.3146   -12.088048],[334.94775 352.3146  -12.95148],[336.1095   366.25543  -14.678344],[334.94775 355.7998  -12.95148],[345.40338  355.7998    -9.497752],[350.0503   360.44678  -11.224616],[348.88855  355.7998    -7.770888],[353.53552  359.28503   -7.770888],[340.7564   355.7998   -11.224616],[343.0799  363.93195 -12.95148],[353.53552  353.47632   -7.770888],[348.88855  353.47632   -7.770888]
[328.19232 344.96942 -17.26864],[328.19232  352.57697  -13.814912],[328.19232 356.92407 -12.95148],[328.19232  366.70514  -15.541776],[320.58484  343.88266  -16.405209],[312.97733 347.143   -12.95148],[308.6302   349.3166    -9.497752],[304.28305   355.8373     -2.5902958],[307.5434   354.75052   -3.453728],[314.06412 352.57697  -8.63432],[317.32446  352.57697  -11.224616],[322.7584  351.49017 -12.95148],[320.58484  366.70514  -14.678344],[322.7584   356.92407  -12.088048],[312.97733 355.8373   -8.63432],[308.6302   360.18445   -9.497752],[310.80377  355.8373    -6.044024],[305.36984  358.01086   -6.044024],[317.32446  355.8373   -10.361184],[314.06412  363.44476  -12.088048],[305.36984  352.57697   -6.044024],[310.80377  353.66373   -6.044024],[335.7998   343.88266  -16.405209],[343.40732  347.143    -14.678344],[348.84125  350.40338  -11.224616],[354.27515  356.92407   -5.180592],[351.01483  355.8373    -6.044024],[343.40732  353.66373  -10.361184],[339.06018  352.57697  -12.088048],[333.62625  352.57697  -13.814912],[335.7998   366.70514  -15.541776],[334.713   356.92407 -12.95148],[344.4941   356.92407   -9.497752],[347.75446  361.27124  -11.224616],[347.75446  356.92407   -7.770888],[352.10156  359.09766   -7.770888],[340.14697  356.92407  -11.224616],[342.32053  364.53156  -13.814912],[352.10156 353.66373  -8.63432],[347.75446  353.66373   -7.770888]
[327.97733 344.18243 -17.26864],[327.97733  351.1529   -13.814912],[327.97733 356.96155 -12.95148],[327.97733  367.41718  -15.541776],[321.0069   343.02072  -15.541776],[312.87476 346.50592 -12.95148],[308.2278   348.8294    -9.497752],[303.58087   355.7998     -2.5902958],[307.06607   354.63806    -4.3171597],[314.0365  352.3146   -8.63432],[317.5217   352.3146   -11.224616],[323.33038 351.1529  -12.95148],[321.0069   366.25543  -14.678344],[322.16864  356.96155  -12.088048],[312.87476 355.7998   -8.63432],[309.38956  360.44678   -9.497752],[310.55127  355.7998    -6.044024],[305.90436  358.1233    -6.044024],[317.5217   355.7998   -10.361184],[314.0365   363.93195  -12.088048],[304.7426   352.3146    -6.044024],[310.55127  353.47632   -6.044024],[336.1095   343.02072  -16.405209],[344.24164  346.50592  -14.678344],[348.88855  349.99115  -12.088048],[354.69724  356.96155   -5.180592],[352.37378  355.7998    -6.907456],[344.24164  353.47632  -10.361184],[339.59467  352.3146   -12.088048],[333.786    352.3146   -13.814912],[336.1095   366.25543  -15.541776],[334.94775 356.96155 -12.95148],[345.40338  356.96155   -9.497752],[348.88855  361.6085   -11.224616],[348.88855  356.96155   -7.770888],[352.37378  359.28503   -7.770888],[340.7564   356.96155  -11.224616],[343.0799   365.0937   -13.814912],[353.53552 353.47632  -8.63432],[347.7268   353.47632   -7.770888]
[327.97733 343.02072 -17.26864],[327.97733  351.1529   -13.814912],[327.97733 356.96155 -12.95148],[327.97733  367.41718  -14.678344],[321.0069   343.02072  -15.541776],[312.87476 345.34418 -12.95148],[308.2278   348.8294    -9.497752],[304.7426    355.7998     -1.7268639],[308.2278   354.63806   -3.453728],[314.0365  352.3146   -8.63432],[318.68344  351.1529   -10.361184],[323.33038 351.1529  -12.95148],[321.0069   367.41718  -13.814912],[323.33038  356.96155  -12.088048],[312.87476  355.7998    -7.770888],[309.38956 361.6085   -8.63432],[310.55127  355.7998    -5.180592],[305.90436  358.1233    -5.180592],[317.5217   356.96155   -9.497752],[314.0365   365.0937   -11.224616],[305.90436  352.3146    -5.180592],[311.713    353.47632   -6.044024],[336.1095   343.02072  -16.405209],[344.24164  346.50592  -14.678344],[350.0503   349.99115  -12.088048],[355.85898  356.96155   -5.180592],[352.37378  355.7998    -6.044024],[344.24164  352.3146   -10.361184],[339.59467  352.3146   -12.088048],[334.94775  351.1529   -13.814912],[336.1095   367.41718  -14.678344],[334.94775 356.96155 -12.95148],[345.40338  356.96155   -9.497752],[348.88855  361.6085   -11.224616],[348.88855  356.96155   -7.770888],[353.53552  359.28503   -7.770888],[340.7564   356.96155  -11.224616],[343.0799  365.0937  -12.95148],[353.53552 353.47632  -8.63432],[348.88855  353.47632   -7.770888]
[328.6519   343.03058  -16.405209],[328.12723 351.6874  -12.95148],[329.13907 355.4724  -12.95148],[328.4645   366.6026   -15.541776],[319.9951   342.50592  -15.541776],[311.1134  345.69135 -12.95148],[307.17853  349.17654   -9.497752],[303.0937    355.13513    -2.5902958],[306.80377   355.36       -4.3171597],[313.21204 352.0247   -8.63432],[316.9221   352.24954  -10.361184],[323.18048 351.3876  -12.95148],[321.04437  366.1529   -14.678344],[322.95563  355.09766  -12.088048],[312.98718 355.73474  -8.63432],[308.97733  360.45663   -9.497752],[310.5138   355.58484   -6.044024],[305.41718  357.75842   -6.044024],[316.7722   354.7229   -10.361184],[313.77417  363.2298   -12.088048],[303.2436   352.66174   -6.044024],[309.42703  353.0365    -6.044024],[337.38364  342.31854  -16.405209],[345.89053  345.3166   -13.814912],[351.84912  349.40143  -11.224616],[357.65778  355.9596    -5.180592],[353.94772  355.73474   -6.044024],[346.67752  352.81165  -10.361184],[341.73077  352.51184  -12.088048],[335.62228 350.9004  -12.95148],[337.1963   365.89056  -14.678344],[335.32248 355.84717 -12.95148],[346.45267  356.52173   -9.497752],[351.17456  360.5316   -11.224616],[350.16272  356.74658   -7.770888],[355.03452  358.28308   -7.770888],[341.50592  356.22192  -11.224616],[344.7663   363.86688  -13.814912],[355.33432 353.3363   -8.63432],[350.31262  354.2732    -7.770888]
