0, 13, 14, 17, 37, 39, 40, 61, 78, 80, 81, 82, 84, 87, 88, 91, 95, 146, 178, 181, 185, 191, 267, 269, 270, 291, 308, 310, 311, 312, 314, 317, 318, 321, 324, 375, 402, 405, 409, 415
[308.19885 261.3751  -16.85063],[306.60092 269.6022  -13.46879],[305.14777   277.61243   -12.0469475],[303.89014 289.0716  -13.77603],[299.23654  259.14514  -16.528044],[289.32623  261.03275  -14.471774],[282.87918  264.0725   -11.542206],[275.20538  270.21564   -4.927848],[279.64896   270.0499     -6.0775967],[288.30942  268.24323  -10.061016],[293.61877  268.1786   -11.903792],[299.83087  268.6225   -13.306328],[294.69852  286.86035  -13.842653],[297.9655   276.26135  -11.868458],[286.51077  273.52252   -9.113396],[281.09943  278.02853  -10.396046],[283.24515  272.4505    -7.308964],[277.40952   273.9097     -7.5643725],[291.73816  274.76416  -10.697213],[286.9226   282.93356  -12.448729],[277.9422   266.78708   -8.237675],[283.82623   268.6006     -7.8469687],[316.96545  261.78888  -15.668977],[324.93106  266.26755  -12.636453],[329.1339   270.89484   -9.014833],[332.85535   278.68686    -1.5515985],[328.58182 277.09653  -3.23427],[322.36987  273.1817    -8.006662],[318.1802   271.66064  -10.420085],[312.85736  270.54474  -12.459183],[312.91354  289.5499   -12.970513],[312.08124  278.31403  -11.000774],[322.22125   278.67383    -7.0522594],[326.53296  284.74075   -8.127581],[325.0661   278.48016   -4.802825],[330.27716   281.70493    -4.6691914],[317.7611   278.51978   -9.142545],[320.59705  287.95532  -10.668071],[331.97754  274.7575    -5.112817],[325.6388   274.59354   -5.289352]
[308.36008  261.0995   -16.688269],[306.94287  269.35117  -13.182311],[306.10104  274.83508  -12.307268],[304.96805  285.95154  -14.208891],[299.85977 258.96622 -16.27632],[290.47028  261.00073  -14.191736],[284.4107   264.19025  -11.354183],[277.28882   270.21753    -4.9155574],[281.48578   269.8745     -6.1443796],[289.6848   268.26733   -9.837734],[294.7374   268.12903  -11.573156],[300.66296  268.4992   -12.956925],[296.37534  284.02655  -14.214527],[299.3758   273.69562  -12.072529],[288.30234  271.8831    -9.333974],[283.28705  276.39902  -10.667265],[285.06586   271.34543    -7.5085535],[279.58887  273.09424   -7.747626],[293.38474  272.57114  -10.896748],[288.96368  280.58466  -12.766407],[279.78027  266.97546   -8.144018],[285.45648  268.6552    -7.741327],[316.69843  261.42468  -15.600035],[324.38666  265.84573  -12.690939],[328.52487  270.51727   -9.296641],[332.2981    278.07635    -2.1870356],[328.42334   276.41312    -3.8522964],[322.14703  272.7892    -8.185267],[317.98828  271.30783  -10.394446],[312.82715  270.2159   -12.295017],[313.40723  286.49213  -13.533128],[312.62265  275.58777  -11.385785],[322.3933   276.67142   -7.668846],[326.3991   282.64825   -8.858517],[325.17078  276.98584   -5.490158],[329.95657  280.3488    -5.393549],[318.07977  276.0718    -9.651778],[320.707    285.24902  -11.350799],[331.36365   274.37686    -5.6150155],[325.4426    274.1691     -5.7046375]
[307.38507 262.82925 -16.78047],[305.82278  271.39154  -13.266189],[304.61676  278.22223  -11.994613],[303.25836  289.87848  -13.455234],[299.0016   260.71872  -16.349585],[289.71356  262.95135  -14.293007],[283.73663  266.33844  -11.529713],[276.63055   272.8449     -5.1251926],[280.95154  272.4393    -6.358861],[289.10843  270.5778   -10.056597],[294.02142   270.33252   -11.7508545],[299.7553  270.5775  -13.07259],[294.56396  287.77182  -13.528748],[297.962    277.02246  -11.801834],[287.31403  274.95493   -9.257966],[281.87677  279.51642  -10.480789],[284.2896   274.22992   -7.584582],[278.5631   275.93445   -7.817031],[292.17047  275.8057   -10.706232],[287.2601   284.06683  -12.347864],[279.16824  269.33777   -8.377638],[284.99292   271.0903     -7.9948273],[315.6371   263.18387  -15.655989],[323.0632   267.8006   -12.782424],[326.93054  272.62262   -9.458836],[330.31357   280.6036     -2.3558226],[326.32874  278.81598   -4.051826],[320.31714  274.96454   -8.388775],[316.3955   273.4047   -10.565475],[311.47595  272.2544   -12.392912],[311.86282  290.35855  -12.818226],[311.06973  278.9171   -11.102725],[320.52258   279.65247    -7.5693636],[324.77112  285.85583   -8.622566],[323.1601   279.72882   -5.549493],[328.14667   283.1642     -5.4301763],[316.37897  279.2605    -9.443519],[319.18466 288.84973 -10.90867],[329.52765  276.6441    -5.830775],[323.404     276.4151     -5.9099126]
[307.03674  261.35742  -16.745846],[305.4721    269.79724   -13.2412195],[304.09033  276.98685  -11.885182],[302.6961   288.55463  -13.392384],[298.53613  259.12695  -16.282938],[289.13187  261.19504  -14.166594],[283.07428  264.4959   -11.298426],[275.84253  270.94897   -4.732854],[280.1855   270.62003   -5.977005],[288.47723  268.76404   -9.841082],[293.45755  268.56427  -11.617934],[299.28552  268.903    -13.005144],[293.93826  286.3314   -13.409571],[297.3682   275.69235  -11.637075],[286.64166  273.4069    -8.971014],[281.1817   277.88043  -10.158226],[283.56595   272.57977    -7.2279286],[277.82507  274.17322   -7.440462],[291.53888  274.3757   -10.491039],[286.59546  282.51758  -12.104393],[278.4552  267.44366  -8.05254],[284.28232   269.23376    -7.6898427],[315.4155   261.83478  -15.658393],[322.97784 266.51825 -12.79031],[326.91956 271.38217  -9.41589],[330.33246   279.4393     -2.2272825],[326.31244   277.62598    -3.8968587],[320.28076  273.59445   -8.322497],[316.29077  271.97336  -10.538115],[311.26947  270.75806  -12.384819],[311.4126   289.14697  -12.766226],[310.65604  277.77258  -11.013942],[320.3018   278.5604    -7.428874],[324.54272  284.7753    -8.480755],[323.02753   278.6164     -5.3887854],[328.03235  282.06546   -5.273949],[316.06686  278.1634    -9.335306],[318.84116   287.734     -10.7889385],[329.5437    275.43298    -5.7399826],[323.40298   275.11816    -5.8004184]
[308.2984   261.253    -16.512276],[306.6531   269.28802  -12.974086],[305.19492  277.19196  -11.461579],[303.85178  288.63245  -12.896492],[299.6277   259.0315   -16.227345],[289.9916   260.81183  -14.164276],[283.7117   263.73218  -11.224887],[276.1596    269.62415    -4.4908733],[280.50366   269.41162    -5.6410384],[288.98962  267.80298   -9.653703],[294.1377   267.82568  -11.480205],[300.12595   268.30762   -12.8554125],[294.86755  286.39484  -13.017006],[298.2097   275.832    -11.322366],[287.11807  273.0028    -8.613977],[281.7485   277.4567    -9.764944],[283.95947   271.85822    -6.8484044],[278.23206   273.3177     -7.0316706],[292.16632  274.3035   -10.183501],[287.32184  282.40906  -11.724374],[278.8837   266.3211    -7.894175],[284.6334    268.06372    -7.4326777],[316.78955  261.65607  -15.282855],[324.44757  265.99225  -12.166803],[328.47394  270.50095   -8.481415],[332.04507   278.07596    -0.8074093],[327.88843  276.42377   -2.533731],[321.8039   272.66516   -7.426552],[317.75885  271.24664   -9.877575],[312.64426  270.19128  -11.942429],[312.6809   289.1152   -12.065506],[311.92175  277.8858   -10.389058],[321.73224   278.12967    -6.3743587],[325.94678   284.1751     -7.3115945],[324.48138  277.86823   -4.119427],[329.55255   281.09857    -3.8919997],[317.4193   278.0562    -8.494327],[320.18176  287.4613    -9.810506],[331.18628   274.22647    -4.4994764],[324.9796   273.99286   -4.653618]
[308.53217  261.27948  -17.036453],[306.95126   269.54425   -13.6069765],[306.04858  275.13828  -12.789686],[304.84747  286.35278  -14.678206],[300.06372  259.18732  -16.692074],[290.59525  261.2243   -14.702791],[284.33173  264.34924  -11.970392],[277.0657    270.23712    -5.6987224],[281.2909    269.8577     -6.8865595],[289.53455  268.39597  -10.488199],[294.6721   268.31808  -12.155422],[300.5948   268.67395  -13.469958],[296.20868  284.4117   -14.769146],[299.27478  273.99347  -12.641565],[288.09634  272.0674    -9.983695],[283.00565 276.64136 -11.41645],[284.8512   271.4489    -8.219057],[279.30713  273.22528   -8.511185],[293.2232  272.82263 -11.50793],[288.72784  280.93466  -13.465527],[279.5724   267.0611    -8.853515],[285.24442  268.7049    -8.451544],[316.78412  261.62903  -15.848121],[324.30493  266.07153  -12.890631],[328.36603  270.72095   -9.501898],[331.9267    278.1728     -2.3994427],[327.9656    276.47983    -4.0874605],[321.87473   272.97968    -8.4630995],[317.825    271.51678  -10.699358],[312.7771   270.42273  -12.629396],[313.24084  286.8825   -13.896361],[312.5074   275.87988  -11.775642],[322.11932   276.88382    -7.9559526],[326.09924   282.91797    -9.1977825],[324.7812    277.1264     -5.7506094],[329.59586   280.52844    -5.6664414],[317.8789  276.3272   -9.97792],[320.48633  285.6016   -11.728557],[331.1047    274.5282     -5.8083377],[325.06644   274.29883    -5.9503794]
[306.34723  260.81958  -16.809368],[304.64755  268.95544  -13.337257],[303.33734  275.86423  -12.161287],[301.74976  287.17682  -13.787004],[297.88074  258.56424  -16.378992],[288.42224  260.36877  -14.251438],[282.20007  263.35297  -11.361109],[274.8557   269.2517    -4.803119],[279.2045   268.98862   -6.021841],[287.44897  267.4756    -9.909872],[292.48926  267.48242  -11.699004],[298.30798  267.95883  -13.118882],[293.00745  284.96033  -13.796668],[296.53055  274.5206   -11.915607],[285.65106  271.98822   -9.112401],[280.24585  276.43152  -10.379186],[282.5749    271.06625    -7.3154564],[276.84842  272.60925   -7.527819],[290.60095  273.08722  -10.705099],[285.652    281.13327  -12.421034],[277.47073  265.98273   -8.105242],[283.21805   267.73718    -7.7341204],[314.73105  261.31012  -15.696705],[322.2965   265.85242  -12.793381],[326.31317  270.54004   -9.352117],[329.85367   278.22784    -2.0829926],[325.86847   276.49582    -3.7279243],[319.7343   272.6778    -8.255425],[315.65628  271.12634  -10.526309],[310.5475   269.94672  -12.433684],[310.40112  287.80475  -13.095415],[309.93222  276.67224  -11.220642],[319.73804   277.46042    -7.4628305],[323.69598  283.54007   -8.571748],[322.49628   277.4947     -5.3044686],[327.3615   280.87207   -5.192611],[315.40167  277.0665    -9.456524],[317.87366  286.4348   -11.007439],[329.0342   274.39984   -5.592996],[322.95544  274.0896    -5.682105]
[307.6756  259.80603 -17.42514],[306.08044  268.18597  -14.002434],[304.74115  275.232    -12.863839],[303.25323  286.6176   -14.479073],[299.36566  257.65247  -16.905754],[290.1327   259.71228  -14.774124],[284.11597 262.96698 -11.92765],[277.00406   269.29642    -5.4629807],[281.3333    268.99088    -6.7179174],[289.41562  267.17264  -10.558733],[294.29916   266.9818    -12.3341465],[299.9665   267.29248  -13.755868],[294.62924  284.4302   -14.455227],[298.10034  273.95154  -12.568544],[287.55188  271.7021    -9.765724],[282.1335   276.14923  -11.085043],[284.5817   270.90848   -7.996048],[278.8893   272.4953    -8.261946],[292.32886   272.64032   -11.3473215],[287.41162  280.71338  -13.100223],[279.55286  265.8658    -8.727871],[285.30704  267.62683   -8.393928],[315.93817  260.29333  -16.327896],[323.39893  264.98972  -13.511576],[327.33734  269.85233  -10.186259],[330.74927   277.85507    -3.0854254],[326.80878   276.09903    -4.7224116],[320.79053  272.07364   -9.131371],[316.806    270.42056  -11.332325],[311.81732  269.1705   -13.163717],[311.84796  287.2221   -13.861712],[311.23373  276.03546  -11.988297],[320.8392   276.91235   -8.342449],[324.9027   283.02197   -9.518302],[323.53104   277.00717    -6.2666283],[328.41162  280.42014   -6.215238],[316.60275   276.45645   -10.2816305],[319.21155  285.87354  -11.884615],[329.96045   273.891      -6.5330124],[323.9239    273.6031     -6.6230226]
[308.1389   258.8957   -17.984339],[306.53867  267.24115  -14.618012],[305.29218  274.0796   -13.639803],[303.79034  285.2862   -15.422426],[299.88055  256.73676  -17.439322],[290.67203  258.78278  -15.306077],[284.63065  262.04282  -12.439995],[277.52853   268.3335     -5.9942636],[281.79193  268.08533   -7.257429],[289.85492  266.22412  -11.107706],[294.76196  266.01505  -12.915443],[300.43787  266.3316   -14.354006],[295.22864 283.10577 -15.37031],[298.6553   272.79102  -13.331019],[288.06476  270.62982  -10.402319],[282.73874  275.017    -11.825825],[285.07312 269.91156  -8.5739 ],[279.4464   271.47626   -8.884664],[292.8667   271.5025   -12.042911],[288.0287   279.46365  -13.936657],[280.05835  264.93097   -9.222527],[285.7332   266.71423   -8.920798],[316.36133  259.43204  -16.872751],[323.8392   264.19888  -14.039214],[327.86237  269.131    -10.708019],[331.37015 277.17633  -3.63198],[327.46393   275.46042    -5.2713566],[321.3821   271.31152   -9.698512],[317.33765  269.58554  -11.918147],[312.30957  268.2697   -13.776186],[312.34546  285.96448  -14.789351],[311.7995   274.9479   -12.752837],[321.47485   276.0299     -9.0003195],[325.43066  282.07965  -10.286704],[324.18732  276.24164   -6.853417],[328.9944    279.64474    -6.8612213],[317.19647  275.45767  -11.004014],[319.71042  284.7458   -12.734619],[330.5529    273.2188     -7.0431643],[324.58252  272.91815   -7.170244]
[308.42657  260.38892  -17.452045],[306.91187  268.73495  -14.051422],[305.8271   274.88873  -13.140478],[304.42767  286.115    -14.940285],[300.21375  258.26117  -16.930265],[291.1139   260.29688  -14.802795],[285.18274  263.50214  -11.985524],[278.2407   269.6117    -5.615842],[282.47128  269.27643   -6.878115],[290.4162   267.66235  -10.623084],[295.25452  267.50714  -12.381132],[300.86188  267.85184  -13.789431],[295.94888  284.038    -14.878242],[299.26727  273.6599   -12.836895],[288.73514 271.62527 -10.01443],[283.4878   276.09714  -11.428909],[285.7538   270.9663    -8.213715],[280.18335  272.64734   -8.500486],[293.5309   272.42416  -11.609498],[288.78717  280.45465  -13.500757],[280.67847  266.32642   -8.808346],[286.34705  268.05713   -8.506499],[316.60895  260.8743   -16.381445],[324.0918   265.55783  -13.589658],[328.1569   270.3852   -10.341778],[331.75534   278.13593    -3.3751345],[327.85535  276.38605   -4.994994],[321.7469   272.57086   -9.269813],[317.69202  270.96838  -11.427301],[312.67682  269.73697  -13.234952],[312.8675   286.7652   -14.327883],[312.27493   275.7401    -12.2781725],[321.92508  276.828     -8.677172],[325.8739   282.88403   -9.947405],[324.61417  277.05954   -6.587981],[329.40967  280.50323   -6.569771],[317.65814  276.242    -10.594945],[320.17435  285.53085  -12.354226],[330.90112   274.3353     -6.7408853],[324.9472   274.03726   -6.838066]
