0, 13, 14, 17, 37, 39, 40, 61, 78, 80, 81, 82, 84, 87, 88, 91, 95, 146, 178, 181, 185, 191, 267, 269, 270, 291, 308, 310, 311, 312, 314, 317, 318, 321, 324, 375, 402, 405, 409, 415
[316.213    329.23373  -14.678344],[317.11243  338.34024  -10.361184],[316.9438   342.21893   -9.497752],[316.4379   353.85504  -11.224616],[308.51184  327.60358  -13.814912],[299.2929   331.08878  -10.361184],[295.3018   333.50592   -6.907456],[289.84912    339.74557      0.86343205],[2.9378403e+02 3.3862134e+02 5.9604645e-08],[301.59766  337.6657    -5.180592],[305.47635  337.83435   -7.770888],[310.70416  336.7663    -9.497752],[307.38757  353.46155  -10.361184],[310.4793  341.9379   -8.63432],[300.19232   340.19528    -4.3171597],[294.73965  346.43494   -5.180592],[297.6065    340.08286    -1.7268639],[292.3225    342.4438     -1.7268639],[304.0148   341.65683   -6.907456],[299.7426   350.53848   -7.770888],[291.31067   335.9231     -2.5902958],[297.71893   337.49707    -2.5902958],[325.2633   329.62723  -14.678344],[334.20117  332.6065   -12.088048],[340.49704  336.7663    -9.497752],[346.7367    342.21893    -2.5902958],[342.91418  340.75742   -3.453728],[333.9201   339.071     -7.770888],[330.04144  338.90237   -9.497752],[323.5769   338.6213   -10.361184],[324.19528  354.19232  -11.224616],[323.40826  342.5       -9.497752],[335.04437  343.00592   -6.907456],[339.99112  348.4024    -7.770888],[338.97928  341.88165   -5.180592],[344.03845   344.69232    -4.3171597],[329.8728  342.78107  -8.63432],[333.358    352.        -9.497752],[344.2633   339.52072   -6.044024],[339.0917   339.29587   -5.180592]
[319.77863  328.8496   -15.541776],[318.86047  337.5064   -11.224616],[318.20465  343.68988  -10.361184],[318.26086  354.9512   -11.224616],[311.1218   327.93146  -14.678344],[302.0715   330.7234   -11.224616],[296.73126  333.9088    -7.770888],[2.9236539e+02 3.3969873e+02 5.9604645e-08],[296.2066     338.85553     -0.86343193],[302.65237  337.038     -6.044024],[307.59912 337.56262  -8.63432],[312.67703  336.8506   -10.361184],[309.60403  354.03305  -11.224616],[312.0212   343.03406   -9.497752],[302.25888  340.74805   -5.180592],[296.6563   346.40683   -6.044024],[299.78552   340.48572    -2.5902958],[293.33975   342.30328    -2.5902958],[305.83777  342.37823   -7.770888],[302.44626 350.7727   -8.63432],[293.99557  336.11984   -3.453728],[300.04785  338.01236   -3.453728],[327.3299   328.39993  -14.678344],[336.96103 331.9226  -12.95148],[341.51428  336.15732   -9.497752],[348.4098    341.89105    -2.5902958],[344.6997   341.49756   -3.453728],[336.17407  339.3427    -7.770888],[331.22733  338.81805   -9.497752],[325.04388  338.16223  -11.224616],[327.04883  354.6327   -11.224616],[325.75592  343.24017  -10.361184],[337.01727  343.18396   -6.907456],[341.43936  348.65536   -7.770888],[340.8585   342.34076   -5.180592],[345.5429   345.3388    -5.180592],[331.93936 343.896    -8.63432],[334.73126  352.9463   -10.361184],[346.19873  339.15536   -6.044024],[339.88412  339.7362    -5.180592]
[319.77863  328.8496   -15.541776],[318.86047  337.5064   -12.088048],[319.44135  343.82104  -10.361184],[318.1297   356.1879   -12.088048],[311.1218   327.93146  -14.678344],[302.0715   330.7234   -11.224616],[297.96796  334.03998   -7.770888],[2.9236539e+02 3.3969873e+02 5.9604645e-08],[296.07544   340.09222    -1.7268639],[303.88907  337.16916   -6.907456],[307.59912 337.56262  -8.63432],[313.91373  336.98175  -11.224616],[309.60403  354.03305  -11.224616],[312.0212   343.03406   -9.497752],[302.12772  341.98474   -6.044024],[297.893    346.538     -6.907456],[299.78552  340.48572   -3.453728],[294.44525  343.67114   -3.453728],[307.07446  342.5094    -7.770888],[302.44626  350.7727    -9.497752],[293.99557   336.11984    -4.3171597],[300.04785   338.01236    -4.3171597],[328.5666   328.5311   -15.541776],[336.96103 331.9226  -12.95148],[341.51428  336.15732   -9.497752],[348.27863   343.12775    -2.5902958],[344.6997   341.49756   -3.453728],[336.17407  339.3427    -7.770888],[331.22733  338.81805  -10.361184],[326.28058  338.2934   -11.224616],[327.04883  354.6327   -12.088048],[325.62476  344.47687  -10.361184],[337.01727  343.18396   -6.907456],[341.43936  348.65536   -7.770888],[340.72733  343.57745   -5.180592],[345.41174  346.5755    -5.180592],[331.93936 343.896    -8.63432],[334.73126  352.9463   -10.361184],[346.19873  339.15536   -6.044024],[341.12082  339.86737   -5.180592]
[319.24854  330.358    -14.678344],[319.6233   339.5395   -11.224616],[319.36096  342.12527  -10.361184],[318.18048  353.76135  -12.088048],[310.19824  329.43985  -13.814912],[302.04733  332.5316   -11.224616],[296.6134   334.5927    -7.770888],[2.9078601e+02 3.4053256e+02 5.9604645e-08],[296.08875   339.76434    -1.7268639],[302.68442  339.12726   -6.044024],[307.98718 338.359    -8.63432],[313.15878  338.88367  -10.361184],[310.4231   352.97437  -12.088048],[312.89645  341.46945   -9.497752],[302.42212  341.713     -6.044024],[296.72583  346.36      -6.907456],[298.67456  340.02667   -3.453728],[293.10947  343.38068   -3.453728],[306.43195  340.81363   -7.770888],[302.79684  350.89447   -9.497752],[292.34122  338.07794   -3.453728],[298.80573  338.73376   -3.453728],[328.43     329.98328  -14.678344],[337.21796  333.48718  -12.088048],[343.4201   336.72882   -9.497752],[349.36      342.5562     -2.5902958],[345.48126   342.16275    -4.3171597],[337.85504  340.08286   -7.770888],[332.6834   339.5582    -9.497752],[326.21893  338.9024   -11.224616],[327.36194  353.3866   -12.088048],[325.82547  342.7811   -10.361184],[338.88562  342.7998    -7.770888],[342.23965 348.36493  -8.63432],[342.7643   343.1933    -5.180592],[346.38068  346.1726    -5.180592],[332.4211   342.14398   -9.497752],[335.38165  351.5878   -11.224616],[347.0365   339.70813   -6.044024],[341.7337   340.47635   -5.180592]
[326.97534  334.2515   -14.678344],[325.92606  342.9083   -11.224616],[326.1134   351.715     -9.497752],[324.6144   364.08188  -10.361184],[317.08185  333.0523   -14.678344],[307.97534  335.713    -11.224616],[303.9655   337.7367    -7.770888],[296.88266    344.40732      0.86343205],[301.9793     343.77023     -0.86343193],[309.69922  342.1963    -6.044024],[313.5592  341.4093   -8.63432],[319.7426   342.15878  -10.361184],[316.1075   361.79587   -9.497752],[318.6933  350.81558  -8.63432],[307.713     348.2298     -4.3171597],[302.1667   352.57693   -5.180592],[305.38956   346.6933     -2.5902958],[298.9063    348.41718    -1.7268639],[312.6598   348.8294    -6.907456],[307.75052  358.2732    -7.770888],[299.80573  340.99707   -3.453728],[305.98917  341.74658   -3.453728],[335.78207  334.06412  -14.678344],[345.52563  336.5      -12.088048],[350.0227  340.8097   -8.63432],[3.5669333e+02 3.4789252e+02 5.9604645e-08],[351.74658   347.2929     -1.7268639],[343.38956  343.7702    -6.907456],[339.6795  343.3205   -8.63432],[333.4961   342.571    -10.361184],[334.8077   362.80768  -10.361184],[333.68347 351.37775  -8.63432],[345.1134   350.25348   -5.180592],[349.46057  355.7998    -6.044024],[348.9734    349.4665     -2.5902958],[353.77023   351.3028     -2.5902958],[340.01678  350.89056   -6.907456],[342.67752  359.99707   -7.770888],[353.43298   343.7328     -4.3171597],[348.3363   344.3698    -3.453728]
[328.1371   335.9655   -14.678344],[327.61243  344.6223   -11.224616],[327.01282 354.5158   -8.63432],[326.2633   366.8827    -9.497752],[318.31854  334.1292   -13.814912],[309.4369   337.31464  -11.224616],[303.10358  339.41324   -6.907456],[297.78204   345.29688     1.7268641],[3.0149213e+02 3.4552173e+02 5.9604645e-08],[310.29883  343.573     -5.180592],[314.00888  343.79785   -7.770888],[320.19232  344.1726   -10.361184],[316.44476 365.0464   -8.63432],[319.5927   354.0661    -7.770888],[308.61243  350.91818   -3.453728],[303.36588   355.56512    -4.3171597],[305.05228    348.21997     -0.86343193],[299.95563    350.39352     -0.86343193],[313.48422  352.45465   -6.044024],[307.93787  362.04834   -6.907456],[299.2436    341.66174    -2.5902958],[306.58875   343.34814    -2.5902958],[336.86884  335.25348  -14.678344],[346.61243  338.32648  -12.088048],[351.33432  342.3363    -7.770888],[358.3797     348.96945      0.86343205],[353.43292    348.66965     -0.86343193],[344.92603  345.67163   -6.044024],[339.9793  345.37183  -8.63432],[333.79587  344.99707  -10.361184],[336.23178  366.2456    -9.497752],[334.43295  354.9655    -7.770888],[346.9497    353.24164    -4.3171597],[351.59668  358.4882    -5.180592],[349.57297   350.91818    -1.7268639],[355.6065    353.7663     -1.7268639],[340.69135  354.10358   -6.044024],[343.87674  362.98523   -6.907456],[356.13116  345.1095    -3.453728],[349.87277  345.97144   -3.453728]
[327.81805  335.6159   -14.678344],[327.537    343.95416  -10.361184],[326.09418 352.0863   -8.63432],[325.4009   362.74805   -9.497752],[318.52417  333.96698  -13.814912],[309.77368  336.0094   -10.361184],[304.5084   338.67017   -6.907456],[297.66913   343.44824     1.7268641],[3.0231610e+02 3.4427271e+02 5.9604645e-08],[309.90485  342.02417   -5.180592],[314.5518   342.84863   -7.770888],[320.5666   342.71747   -9.497752],[316.107   361.09915  -8.63432],[319.12378  350.8496    -7.770888],[308.87427  347.83286   -3.453728],[303.19678   352.81708    -4.3171597],[305.59515    346.0528      -0.86343193],[300.536      347.55182     -0.86343193],[313.5212   348.65732   -6.044024],[308.3871   357.33286   -6.907456],[300.61096   340.37527    -2.5902958],[306.2135    342.56757    -1.7268639],[336.1563   335.89697  -13.814912],[345.24408  338.7076   -11.224616],[349.47882  341.85553   -6.907456],[356.7865    347.9453      1.7268641],[3.5213956e+02 3.4712085e+02 5.9604645e-08],[344.2135   344.5163    -5.180592],[339.36044  344.85358   -7.770888],[333.5518   343.823     -9.497752],[334.9009  363.23523  -8.63432],[333.27072  352.16125   -7.770888],[345.5064   350.7372    -3.453728],[349.32892   356.20862    -4.3171597],[348.24213   348.826      -1.7268639],[353.63855    352.18        -0.86343193],[340.65338  351.07446   -6.044024],[342.69577  359.82495   -6.907456],[353.71353   345.00348    -2.5902958],[348.86047   345.34076    -2.5902958]
[328.06213  335.6381   -14.678344],[327.01282  344.2949   -11.224616],[326.1134   351.715     -9.497752],[326.001    362.9951   -10.361184],[319.40533  334.58878  -13.814912],[310.44873  336.01282  -11.224616],[305.05228  339.1233    -7.770888],[2.9920612e+02 3.4594379e+02 5.9604645e-08],[303.0661    345.15683    -1.7268639],[310.786    343.58286   -6.044024],[315.88266 342.9458   -8.63432],[320.8294   343.54538  -10.361184],[317.3442   361.94577  -10.361184],[319.93    350.96548  -8.63432],[308.9497   348.3797    -5.180592],[304.64008  352.87674   -6.044024],[306.62625   346.8432     -2.5902958],[301.3797    348.71698    -2.5902958],[313.89648  348.9793    -6.907456],[308.98718  358.4231    -7.770888],[300.89252  342.38364   -3.453728],[307.07593  343.13315   -3.453728],[335.63217  335.3008   -14.678344],[345.22583  338.9734   -12.088048],[349.8728   342.0464    -7.770888],[355.30673    348.9793      -0.86343193],[351.59668   348.5296     -1.7268639],[344.47635  345.1568    -6.907456],[339.5296  344.5572   -8.63432],[333.3462   343.8077   -10.361184],[334.8077   362.80768  -10.361184],[333.68347 351.37775  -8.63432],[345.1134   350.25348   -5.180592],[349.46057  355.7998    -6.044024],[348.9734   349.4665    -3.453728],[353.62033   352.5395     -2.5902958],[340.01678  350.89056   -7.770888],[342.67752 359.99707  -8.63432],[353.28308   344.96942    -4.3171597],[348.1864    345.6065     -4.3171597]
[328.21204  334.4014   -15.541776],[327.16272  343.0582   -11.224616],[327.5      350.62823   -9.497752],[327.2377   363.145    -10.361184],[319.70514  332.1154   -14.678344],[310.59863  334.77615  -12.088048],[305.20218  337.8866    -7.770888],[2.9935602e+02 3.4470712e+02 5.9604645e-08],[303.216     343.92014    -1.7268639],[310.9359   342.3462    -6.907456],[316.03256 341.7091   -8.63432],[320.9793   342.3087   -10.361184],[317.3442   361.94577  -10.361184],[320.0799  349.72882  -8.63432],[309.0996   347.143     -5.180592],[304.64008  352.87674   -6.044024],[306.77615   345.60654    -2.5902958],[301.3797    348.71698    -2.5902958],[313.89648  348.9793    -6.907456],[310.37378  357.3363    -7.770888],[301.04242   341.14697    -4.3171597],[307.22583  341.89648   -3.453728],[337.01877  334.21402  -14.678344],[345.52563  336.5      -12.088048],[351.2594   340.9596    -7.770888],[3.5669333e+02 3.4789252e+02 5.9604645e-08],[352.98328   347.4428     -1.7268639],[344.62625  343.9201    -6.907456],[339.6795  343.3205   -8.63432],[334.73276  342.72092  -10.361184],[336.0444   362.95758  -10.361184],[334.92017 351.52765  -8.63432],[345.1134   350.25348   -5.180592],[350.69727  355.9497    -6.044024],[348.9734    349.4665     -2.5902958],[353.77023   351.3028     -2.5902958],[341.25345  351.04047   -6.907456],[343.91418  360.14697   -7.770888],[354.66962   343.8827     -4.3171597],[348.3363   344.3698    -3.453728]
[327.27515  331.77814  -15.541776],[327.46252  340.58484  -12.088048],[325.8136  354.1884   -8.63432],[325.5513   366.70514   -9.497752],[318.61835  330.72882  -14.678344],[308.27515  333.2397   -11.224616],[303.02863  335.1134    -7.770888],[297.18243   341.93393     1.7268641],[3.0089252e+02 3.4238364e+02 5.9604645e-08],[308.76233  339.573     -6.044024],[313.85898 338.9359   -8.63432],[320.04242  339.68542  -11.224616],[314.571    364.11932   -9.497752],[318.3935  353.28897  -8.63432],[307.713    348.2298    -3.453728],[302.01678   353.81363    -4.3171597],[304.1529     346.5434      -0.86343193],[299.0562     347.18048     -0.86343193],[312.36     351.3028    -6.044024],[307.60062  359.5099    -6.907456],[298.86884   338.37378    -2.5902958],[304.9024    340.36       -2.5902958],[337.31857  331.74066  -14.678344],[346.91223  335.4132   -12.088048],[351.5592  338.4862   -8.63432],[3.5807990e+02 3.4680573e+02 5.9604645e-08],[354.36984    346.35602     -0.86343193],[346.16272  341.59668   -6.907456],[341.216    340.99707   -9.497752],[335.03256  340.24756  -11.224616],[335.7446   365.43097   -9.497752],[334.62036 354.001    -8.63432],[346.2002    351.64008    -4.3171597],[350.54736  357.1864    -5.180592],[350.21008   349.6164     -1.7268639],[355.00693   351.4527     -1.7268639],[340.95364  353.5138    -6.907456],[343.6144   362.62033   -6.907456],[356.20612   341.5592     -4.3171597],[349.7229   343.28308   -3.453728]
